Name,Project,Component,Quote Line Items,Total Quantity,Base Price (from Component),Base Cost (With OR) (from Quote Line Items),Components copy1
New Sunday Project _Monroe NY,New Sunday Project _Monroe NY,,178,23,,$0.00,
New Sunday Project _Monroe NY,New Sunday Project _Monroe NY,"""Door: Solid Core Wood, Flush, Pre-Painted""","181,183,186",27,,$0.00,"""Door: Solid Core Wood, Flush, Pre-Painted"""
New Sunday Project _Monroe NY,New Sunday Project _Monroe NY,,"182,185,188",73,,$0.00,
New Sunday Project _Monroe NY,New Sunday Project _Monroe NY,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""","180,179",46,,$0.00,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)"""
New Sunday Project _Monroe NY,New Sunday Project _Monroe NY,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)""","184,187",4,,$0.00,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)"""
Project A _Brooklyn NY ,Project A _Brooklyn NY ,,189,2,,$0.00,
Project A _Brooklyn NY ,Project A _Brooklyn NY ,,191,2,,$0.00,
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""","190,199",12,,$0.00,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)"""
Project A _Brooklyn NY ,Project A _Brooklyn NY ,,"194,200",12,,$0.00,
Project A _Brooklyn NY ,Project A _Brooklyn NY ,,192,2,,$0.00,
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Door: Solid Core Wood, Flush, Veneer""",195,10,,$0.00,"""Door: Solid Core Wood, Flush, Veneer"""
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Door: Solid Core Wood, Flush, Pre-Painted""",193,2,,$0.00,"""Door: Solid Core Wood, Flush, Pre-Painted"""
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Door: Solid Core Wood, Flush, Plastic Laminate """,196,2,,$0.00,"""Door: Solid Core Wood, Flush, Plastic Laminate """
Project A _Brooklyn NY ,Project A _Brooklyn NY ,,197,10,,$0.00,
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",198,10,,$0.00,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)"""
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Door: Solid Core Wood, Flush, Primed""","201,202,205,208,211,214,217,222",8,,$0.00,"""Door: Solid Core Wood, Flush, Primed"""
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Hardware: Hager, Push Plate, 30S 4x16, US26D""","204,207,210,213,216,219,224",7,,$0.00,"""Hardware: Hager, Push Plate, 30S 4x16, US26D"""
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Frame: Hollow Metal, Welded, (16 Gauge)""","203,206,209,212,215,218,223",7,,$0.00,"""Frame: Hollow Metal, Welded, (16 Gauge)"""
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Hardware: Hager, Door Push/Pull, 13J, US32D""","220,225",4,,$0.00,"""Hardware: Hager, Door Push/Pull, 13J, US32D"""
Project A _Brooklyn NY ,Project A _Brooklyn NY ,"""Hardware: Hager, Door Pull, 34J 4x16, US32D""","221,226",2,,$0.00,"""Hardware: Hager, Door Pull, 34J 4x16, US32D"""
AW Hotel Scarborough ME_Scarborough ME 04074,AW Hotel Scarborough ME_Scarborough ME 04074,"""Door: Solid Core Wood, Flush, Primed""",,0,,,"""Door: Solid Core Wood, Flush, Primed"""
AW Hotel Scarborough ME_Scarborough ME 04074,AW Hotel Scarborough ME_Scarborough ME 04074,"""Frame: Hollow Metal, KD, (16 Gauge)""",,0,,,"""Frame: Hollow Metal, KD, (16 Gauge)"""
AW Hotel Scarborough ME_Scarborough ME 04074,AW Hotel Scarborough ME_Scarborough ME 04074,"""Door: Solid Core Wood, Flush, Pre-Painted""",,0,,,"""Door: Solid Core Wood, Flush, Pre-Painted"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Door: Solid Core Wood, Flush, Plastic Laminate ""","410,420",160,,$0.00,"""Door: Solid Core Wood, Flush, Plastic Laminate """
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Frame: Hollow Metal, KD, (16 Gauge)""","411,421",160,,$0.00,"""Frame: Hollow Metal, KD, (16 Gauge)"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Hardware: Pemko, Threshold, EV2325""","413,423",160,$25.00,$25.00,"""Hardware: Pemko, Threshold, EV2325"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Hardware: Hager, Wall Stop, 232W, US26D""","412,422",160,$1.00,$1.00,"""Hardware: Hager, Wall Stop, 232W, US26D"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Hardware: Pemko, Latch, PDLAA10BE, Satin Bronze""","414,424",160,,$0.00,"""Hardware: Pemko, Latch, PDLAA10BE, Satin Bronze"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Hardware: Hager, Closer, 5200, US26D""","415,425",160,$51.67,$51.67,"""Hardware: Hager, Closer, 5200, US26D"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Hardware: Pemko, Smoke Seals, S773BL17, Black""","416,426",160,,$0.00,"""Hardware: Pemko, Smoke Seals, S773BL17, Black"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""","417,427",480,$3.96,$3.96,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Hardware: Rockwood, Viewer, 627""","418,428",160,$7.00,$7.00,"""Hardware: Rockwood, Viewer, 627"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Hardware: Pemko, Door Bottom, 2173DV""","419,429",160,$24.00,$24.00,"""Hardware: Pemko, Door Bottom, 2173DV"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Hardware: Hager, Door Push/Pull, 13J, US32D""",432,1,,$0.00,"""Hardware: Hager, Door Push/Pull, 13J, US32D"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Door: Solid Core Wood, Flush, Veneer""",430,1,,$0.00,"""Door: Solid Core Wood, Flush, Veneer"""
Home 2 Suites & Tru by Hilton_VA 24201,Home 2 Suites & Tru by Hilton_VA 24201,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",431,1,,$0.00,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Door: Solid Core Wood, Flush, Veneer""","470,499,585",5,,$200.00,"""Door: Solid Core Wood, Flush, Veneer"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""","473,503,588",11,$3.96,$3.96,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""","474,504,589",5,$4.96,$4.96,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""","471,500,586",5,,$100.00,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""","475,505,590",5,$12.00,$12.00,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Hardware: Hager, Kick Plate, 190S 10x46, US4""","472,501",4,$12.00,$3001.00,"""Hardware: Hager, Kick Plate, 190S 10x46, US4"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Door: Solid Core Wood, Flush, Plastic Laminate ""","476,506",2,,$10000.00,"""Door: Solid Core Wood, Flush, Plastic Laminate """
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Frame: Hollow Metal, KD, (16 Gauge)""","477,507",2,,$100000.00,"""Frame: Hollow Metal, KD, (16 Gauge)"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Hardware: Hager, Push Plate, 30S 4x16, US26D""","478,508",2,,$290.00,"""Hardware: Hager, Push Plate, 30S 4x16, US26D"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Hardware: Hager, Closer, 5200, US26D""",502,2,$51.67,$51.67,"""Hardware: Hager, Closer, 5200, US26D"""
"""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_""","""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_""","""Door: Solid Core Wood, Flush, Plastic Laminate ""","525,549,555,561,567,573,579,602",441,,$200.00,"""Door: Solid Core Wood, Flush, Plastic Laminate """
"""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_""","""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_""","""Frame: Hollow Metal, KD, (16 Gauge)""",,0,,,"""Frame: Hollow Metal, KD, (16 Gauge)"""
"""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_""","""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_""","""Frame: , Timely Frame, Pre-Finish, (18 Gauge)""","526,550,556,562,568,574,580,603",441,,$500.00,"""Frame: , Timely Frame, Pre-Finish, (18 Gauge)"""
