Component ID,Category,Brand,Type,Item,Finish,Description,Link to Item URL,Photos,Base Price,Quote Line Items,Openings H,Hardware Set Items,Price Overrides,Override Price (from Price Overrides),Markup Settings,Component Summary,C_Record_ID,Openings,Table 17,Openings 2,Openings 3,Auto Number,Hardware Set Items copy,Hardware Staging
"Hardware: Pemko, Door Guard, PDLAA",Hardware,Pemko,Door Guard,PDLAA,,,,,$17.00,,,"""""""Hardware: Pemko, Door Guard, PDLAA""""""",,,,,recfLSfw7pdZ3mCpB,,rec45cf9pbggeA97A,,,1,,68
"Hardware: Pemko, Smoke Seals, S773",Hardware,Pemko,Smoke Seals,S773,,,,,$19.00,,,"""""""Hardware: Pemko, Smoke Seals, S773"""""",""""""Hardware: Pemko, Smoke Seals, S773""""""",,,,,recVTEG548ki91DFE,,rec45cf9pbggeA97A,,,2,,69
"Hardware: Pemko, Door Bottom, 2173DV",Hardware,Pemko,Door Bottom,2173DV,,,,,$24.00,"419,429",,"""""""Hardware: Pemko, Door Bottom, 2173DV""""""",,,,Home 2 Suites & Tru by Hilton_VA 24201,recWshRWzWiUtvcyN,,rec45cf9pbggeA97A,,,3,,
"Hardware: Pemko, Threshold, EV2325",Hardware,Pemko,Threshold,EV2325,,,,,$25.00,"413,423",,"""""""Hardware: Pemko, Threshold, EV2325"""""",""""""Hardware: Pemko, Threshold, EV2325""""""",,,,Home 2 Suites & Tru by Hilton_VA 24201,recAQxmoh9jcK1iBe,,,,,4,,71
"Hardware: Rockwood, Viewer, 627",Hardware,Rockwood,Viewer,627,,,,,$7.00,"418,428",,"""""""Hardware: Rockwood, Viewer, 627"""""",""""""Hardware: Rockwood, Viewer, 627"""""",""""""Hardware: Rockwood, Viewer, 627""""""",,,,Home 2 Suites & Tru by Hilton_VA 24201,recYscWe1YXjYwZfu,,,,,5,,70
Shipping: ,Shipping,,,,,,,,$10000.00,,,,,,,,reczLmSZq2tGCYtvK,"ID_H_SHIPPING ,ID_H_SHIPPING ",,,,6,,
"Frame: Hollow Metal, Cased Welded, (16 Gauge)",Frame,Hollow Metal,Cased Welded,,(16 Gauge),,,,,"13,18,32,48,50,52,54,56,58,60,62,64,66,68,70,75,77,79,81,88,184,187,198,431",,"""""""Frame: Hollow Metal, Cased Welded, (16 Gauge)""""""",,,,"New Sunday Project _Monroe NY,Project A _Brooklyn NY ,Home 2 Suites & Tru by Hilton_VA 24201",recX4TLMrgjDg0jKo,,,"ID_O_107A,ID_E_109A,ID_T_109B,ID_T_109D,ID_T_113A,ID_T_114A,ID_T_115A,ID_H_116A,ID_H_117A,ID_H_140A,ID_A_142A,ID_N_143A,ID_N_143B,ID_P_214,ID_H_G03",,7,,
"Frame: Hollow Metal, Welded, (16 Gauge)",Frame,Hollow Metal,Welded,,(16 Gauge),,,,,"203,206,209,212,215,218,223,592",,"""""""Frame: Hollow Metal, Welded, (16 Gauge)""""""",,,,"Project A _Brooklyn NY ,H2S Brooklyn _Brooklyn NY",recTOb6tgCzwQlNSd,,,"ID_N_123,ID_P_251A,ID_H_176",,8,,
"Frame: Hollow Metal, KD, (16 Gauge)",Frame,Hollow Metal,KD,,(16 Gauge),,,,,"411,421,450,459,468,477,480,497,507,510,512",,,2,$26.00,,"AW Hotel Scarborough ME_Scarborough ME 04074,Home 2 Suites & Tru by Hilton_VA 24201,H2S Brooklyn _Brooklyn NY,""""""Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_""""""",recMfR4iEimOVG9KF,,,"ID_A_1GM,ID_A_1HW,ID_A_1LN1,ID_A_1LN2,ID_A_1LN3,ID_A_1MC1,ID_A_1MDF,ID_A_1RC,ID_A_1RR,ID_A_1SR1,ID_A_1ST1,ID_A_1ST2,ID_A_1WR1,ID_A_1WR2,ID_A_ERS,ID_H_G01,ID_H_G02,ID_H_170",,9,,
"Frame: Hollow Metal, Cased KD, (16 Gauge)",Frame,Hollow Metal,Cased KD,,(16 Gauge),,,,,,,,,,,,rec407SskNkE0W4tb,,recBg1wYj453dh81K,,,10,,
