Component ID,Category,Brand,Type,Type FD,Component Type,Item,Finish,Description,Link to Item URL,Photos,Base Price,Quote Line Items,Openings H,Hardware Set Items,Price Overrides,Override Price (from Price Overrides),Markup Settings,Component Summary,C_Record_ID,Openings,Table 17,Openings 2,Openings 3,Auto Number,Hardware Set Items copy,Hardware Staging,Image,Hardware Items,Openings 4
"Hardware: Hager, Door Push/Pull, 13J, US32D",Hardware,Hager,Door Push/Pull,,Door Push/Pull,13J,US32D,Hager 13J Push/Pull Set - Round,,,,"220,225,432","ID_P_214,ID_N_123,ID_H_G03","""""""Hardware: Hager, Door Push/Pull, 13J, US32D"""", """"Hardware: Hager, Door Pull, 34J 4x16, US26D"""""",""""""Hardware: Hager, Door Push/Pull, 13J, US32D"""", """"Hardware: Hager, Hinges, ECBB1100 4.5x4.5, US26""""""",,,,"Project A _Brooklyn NY ,Home 2 Suites & Tru by Hilton_VA 24201",rec4fCVFAUqVQ1xXe,,,,,3433,,,,,
"Hardware: Hager, Exit Device Lever, 45CE REV 2 WTN NC, US26D",Hardware,Hager,Exit Device Lever,,Exit Device,45CE REV 2 WTN NC,US26D,Hager 45 Cylinder Escutcheon Trim Warren Lever NC,,,,,,,,,,,rec0F9cGdhm8TL9W9,,,,,2547,,,,,
"Hardware: Hager, Flush Bolt, 293D, US32D",Hardware,Hager,Flush Bolt,,Flush Bolt,293D,US32D,Hager 293D Constant Latching Flush Bolt Set for Inactive Metal Doors,,,,,,,,,,,rec0GvUfrFR1ZHDfO,,,,,3453,,,,,
"Hardware: Hager, Wall Stop, 236W, US32D",Hardware,Hager,Wall Stop,,Wall Stop,236W,US32D,Hager 236W Concave Wall Stop,,,,,,,,,,,rec0KOV5p3PbKNsoF,,,,,3450,,,,,
"Hardware: Hager, Exit Device, 4501 LBR FR 36x84 EO w/BOLT, US26D",Hardware,Hager,Exit Device,,Exit Device,4501 LBR FR 36x84 EO w/BOLT,US26D,Hager 4501 Fire Rated Surface Vertical Exit Rod Less Bottom Rod Device 36x84 EO with Bolt,,,,,,,,,,,rec0TRtTZhxNvnyZn,,,,,2645,,,,,
"Hardware: Hager, Levers, 3573 2-3/4 26D.AUG.SCC.SK.ASA R1, US26D",Hardware,Hager,Levers,,,3573 2-3/4 26D.AUG.SCC.SK.ASA R1,US26D,Hager 3573 Corridor/Dormitory 2-3/4 AUG SCC SK ASA R1,,,,,,,,,,,rec0ThFPvQPeJtoQ8,,,,,2614,,,,,
"Hardware: Hager, Closer, 5100 PAR ADJ 1-6 BLK BF HDHOS, BLK",Hardware,Hager,Closer,,Closer,5100 PAR ADJ 1-6 BLK BF HDHOS,BLK,Hager 5100 Grade 1 Closer with Adjustable Parallel Arm,,,,,,,,,,,rec0WHex8UDpsr9xX,,,,,307,,,,,
"Hardware: Hager, Locks, 3901 RIM CYLINDER NC IC7, US26D",Hardware,Hager,Locks,,,3901 RIM CYLINDER NC IC7,US26D,Hager 3901 Rim Cylinder NC IC7,,,,,,,,,,,rec0fBFQ58asMpUDL,,,,,2625,,,,,
"Hardware: Hager, Locks, 3215 2-3/4 NC IC, US26D",Hardware,Hager,Locks,,,3215 2-3/4 NC IC,US26D,Hager 3215 Cylinder x Thumbturn 2-3/4 NC IC,,,,,,,,,,,rec0pXVwZW1B31zVS,,,,,2603,,,,,
"Hardware: Hager, Trim & Auxiliary, 318D, US26D",Hardware,Hager,Trim & Auxiliary,,,318D,US26D,Hager 318D Roller Latch with Tee Strike,,,,,,,,,,,rec0wyWgmXInBb4ZZ,,,,,2568,,,,,
"Hardware: Hager, Hinges, ECBB 1100 4.5x4.5, US10B",Hardware,Hager,Hinges,,Hinges,ECBB 1100 4.5x4.5,US10B,Hager ECBB1100 4.5x4.5 Full Mortise Ball Bearing Hinge,,,,,,,,,,,rec198Qs1bsX93rYT,,,,,933,,,,,
"Hardware: Hager, Flush Bolt, 297D 72, N/A",Hardware,Hager,Flush Bolt,,,297D 72,N/A,Hager 297D 72 Coordinator with Filler Bar,,,,,,,,,,,rec1OVTp97TJY6b3K,,,,,455,,,,,
"Hardware: Hager, Locks, 3967 2-3/8 FP1 PRIVACY, US26D",Hardware,Hager,Locks,,,3967 2-3/8 FP1 PRIVACY,US26D,Hager 3967 2-3/8 Latchbolt - Privacy Spring Latch FP1,,,,,,,,,,,rec1nxM4npbHuxEW2,,,,,2639,,,,,
"Hardware: Hager, Exit Device, 4501 LBR 36x96, US32D",Hardware,Hager,Exit Device,,Exit Device,4501 LBR 36x96,US32D,Hager 4501 Surface Vertical Exit Rod Less Bottom Rod Device 36x96,,,,,,,,,,,rec1psX8cFk5UTBHg,,,,,3462,,,,,
"Hardware: Hager, Exit Device Lever, 45BE BLK AUG, BLK",Hardware,Hager,Exit Device Lever,,,45BE BLK AUG,BLK,Hager 45 Blank Escutcheon Trim August Lever,,,,,,,,,,,rec1vfBAxE306rHux,,,,,299,,,,,
"Hardware: Hager, Cylindrical Lock, 2580 2-3/4 US3 WTN SCC KD ASA, US3",Hardware,Hager,Cylindrical Lock,,,2580 2-3/4 US3 WTN SCC KD ASA,US3,Hager 2580 Storeroom 2-3/4 US3 WTN SCC KD ASA,,,,,,,,,,,rec2DXSQXy4pQvN8b,,,,,575,,,,,
"Hardware: Hager, Exit Device, 4501 FR SVR 36x84 EO, US26D",Hardware,Hager,Exit Device,,,4501 FR SVR 36x84 EO,US26D,Hager 4501 Fire Rated Surface Vertical Rod 36x84 EO,,,,,,,,,,,rec2MeTdiSC0jzdK9,,,,,2650,,,,,
