ID,Project,File Upload Id,Mark,Quantity,Area,Location,Door Ref,Door Size,Door Width,Door Height,Door Thickness,Door Material,Fire Rating,Frame Ref,Frame Size,Frame Width,Frame Height,Frame Throat,Hardware Ref,Remarks,Extra,Hardware Sets,Sync to Openings
1805,"""Hilton Garden Inn_Monroe, PA""",,LEVEL 01,,,,,0 x 0,,,,,,,,,,,,,,,
1806,"""Hilton Garden Inn_Monroe, PA""",,001A,,,,D8,"4'-0"" x 8'-8""","4'-0""","8'-8""","1 3/4""",,,,,,,,6,,TO ROOM : VESTIBULE; SIZE : --; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : b,,
1807,"""Hilton Garden Inn_Monroe, PA""",,001B,,,,D8,"4'-0"" x 8'-8""","4'-0""","8'-8""","1 3/4""",,,,,,,,,,TO ROOM : VESTIBULE; SIZE : --; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : b,,
1808,"""Hilton Garden Inn_Monroe, PA""",,001C,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,,,,,,14,,TO ROOM : MECHANICAL; SIZE : SGL; MATERIAL : HM; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1809,"""Hilton Garden Inn_Monroe, PA""",,002,,,,D4,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,12,,TO ROOM : LOBBY; SIZE : SGL; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1810,"""Hilton Garden Inn_Monroe, PA""",,003A,,,,D4,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,10,,TO ROOM : VESTIBULE; SIZE : SGL; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : c,,
1811,"""Hilton Garden Inn_Monroe, PA""",,003B,,,,D4,"3'-0"" x 8'-8""","3'-0""","8'-8""","1 3/4""",,,,,,,,9,,TO ROOM : INDOOR POOL; SIZE : SGL; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : c,,
1812,"""Hilton Garden Inn_Monroe, PA""",,006A,,,,D1,0 x 0,,,,,,,,,,,,,TO ROOM : NOT USED; SIZE : --; MATERIAL : ---; FINISH : ---; FRAME MATERIAL : ---; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1813,"""Hilton Garden Inn_Monroe, PA""",,006B,,,,,0 x 0,,,,,,,,,,,,,TO ROOM : NOT USED; SIZE : ---; MATERIAL : ---; FINISH : ---; FRAME MATERIAL : ---; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1814,"""Hilton Garden Inn_Monroe, PA""",,007B,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,17,,TO ROOM : FOOD PREP; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
