Component ID,Hardware Set,Component,Item (from Component),Type,Component Cost,Quantity,Item Total Price,Hardware Sets,Hardware Staging,Components copy,Hardware Items
"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""","""""""Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""" - 12""","""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",BB1279 4.5x4.5,Hinges,$3.96,3,$11.88,,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",
"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""","""""""Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""" - 12""","""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",5200 MLT ADJ 1-6 ALM BF,Closer,$4.96,1,$4.96,,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",
"""Hardware: Hager, Cylindrical Passage, 2510 2-3/4 WTN ASA, US26D""","""""""Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""" - 12""","""Hardware: Hager, Cylindrical Passage, 2510 2-3/4 WTN ASA, US26D""",2510 2-3/4 WTN ASA,Cylindrical Passage,,1,$0.00,,,"""Hardware: Hager, Cylindrical Passage, 2510 2-3/4 WTN ASA, US26D""",
"""Hardware: Pemko, Door Shoe, 2173DV35.625, Dark Bronze Aluminum""","""""""Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""", """"Home 2 Suites - Springfield, OH_"""" - 12""","""Hardware: Pemko, Door Shoe, 2173DV35.625, Dark Bronze Aluminum""",2173DV35.625,Door Shoe,,1,$0.00,,,"""Hardware: Pemko, Door Shoe, 2173DV35.625, Dark Bronze Aluminum""",
"""Door: Solid Core Wood, Veneer""","""""""Navy Yard_Montreal, QB"""" - CW""","""Door: Solid Core Wood, Veneer""",,,,5,$0.00,,,"""Door: Solid Core Wood, Flush, Veneer""",
"""Door: Solid Core Wood, Pre-Painted""","""""""Navy Yard_Montreal, QB"""" - CW""","""Door: Solid Core Wood, Pre-Painted""",,,,1,$0.00,,,"""Door: Solid Core Wood, Flush, Pre-Painted""",
"""Door: Solid Core Wood, Plastic Laminate ""","""""""Navy Yard_Montreal, QB"""" - CW""","""Door: Solid Core Wood, Plastic Laminate """,,,,1,$0.00,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,
"""Hardware: Pemko, Smoke Seals, S773""","""""""Tru_Israel, IL"""" - 1""","""Hardware: Pemko, Smoke Seals, S773""",S773,Smoke Seals,$19.00,,$0.00,"""""""Tru_Israel, IL"""" - 1""",69,"""Hardware: Pemko, Smoke Seals, S773""",
"""Hardware: Pemko, Door Guard, PDLAA""","""""""Tru_Israel, IL"""" - 1""","""Hardware: Pemko, Door Guard, PDLAA""",PDLAA,Door Guard,$17.00,,$0.00,"""""""Tru_Israel, IL"""" - 1""",68,"""Hardware: Pemko, Door Guard, PDLAA""",
"""Hardware: Rockwood, Viewer, 627""","""""""Tru_Israel, IL"""" - 2""","""Hardware: Rockwood, Viewer, 627""",627,Viewer,$7.00,,$0.00,"""""""Tru_Israel, IL"""" - 2""",70,"""Hardware: Rockwood, Viewer, 627""",
"""Hardware: Pemko, Threshold, EV2325""","""""""Tru_Israel, IL"""" - 2""","""Hardware: Pemko, Threshold, EV2325""",EV2325,Threshold,$25.00,,$0.00,"""""""Tru_Israel, IL"""" - 2""",71,"""Hardware: Pemko, Threshold, EV2325""",
"""Door: Solid Core Wood, Plastic Laminate ""","""""""Tru_Israel, IL"""" - 22""","""Door: Solid Core Wood, Plastic Laminate """,,,,1,$0.00,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,
"""Frame: Hollow Metal, Cased Welded, (16 Gauge)""","""""""Tru_Israel, IL"""" - 22""","""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",,,,1,$0.00,,,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",
"""Hardware: Pemko, Smoke Seals, S773""","""""""Tru_Israel, IL"""" - 22""","""Hardware: Pemko, Smoke Seals, S773""",S773,Smoke Seals,$19.00,,$0.00,,,"""Hardware: Pemko, Smoke Seals, S773""",
"""Hardware: Rockwood, Viewer, 627""","""""""Tru_Israel, IL"""" - 22""","""Hardware: Rockwood, Viewer, 627""",627,Viewer,$7.00,,$0.00,,,"""Hardware: Rockwood, Viewer, 627""",
"""Frame: Hollow Metal, Welded, (16 Gauge)""","""""""Tru_Israel, IL"""" - 22""","""Frame: Hollow Metal, Welded, (16 Gauge)""",,,,,$0.00,,,"""Frame: Hollow Metal, Welded, (16 Gauge)""",
"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",H2S Brooklyn _Brooklyn NY - 12,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",BB1279 4.5x4.5,Hinges,$3.96,3,$11.88,,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",
"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",H2S Brooklyn _Brooklyn NY - 12,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",2570 2-3/4 WTN NC ASA IC,Cylindrical Lock,$12.00,1,$12.00,,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",
"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",H2S Brooklyn _Brooklyn NY - 12,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",5200 MLT ADJ 1-6 ALM BF,Closer,$4.96,1,$4.96,,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",Unnamed record
"""Hardware: Hager, Closer, 5200 TRK ADJ 1-6 ALM HOTA, ALM""",H2S Brooklyn _Brooklyn NY - 12,"""Hardware: Hager, Closer, 5200 TRK ADJ 1-6 ALM HOTA, ALM""",5200 TRK ADJ 1-6 ALM HOTA,Closer,,1,$0.00,,,"""Hardware: Hager, Closer, 5200 TRK ADJ 1-6 ALM HOTA, ALM""",
"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 1,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",BB1279 4.5x4.5,Hinges,$3.96,3,$11.88,,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",
