ID,Set ID,Extracted Description,Components,Quantity,Hardware Set,File Uploads (from Hardware Set),Extracted Data (from Hardware Set),Sync to Hardware,Hardware Set Items
68,1,HARDWARE BY MFR,"""Hardware: Pemko, Door Guard, PDLAA""",,"""""""Tru_Israel, IL"""" - 1""","""Tru_Israel, IL 2025-07-10 16:38""",HARDWARE BY MFR CARD READER AS REQUIRED,checked,"""""""Hardware: Pemko, Door Guard, PDLAA"""""""
69,1,CARD READER AS REQUIRED,"""Hardware: Pemko, Smoke Seals, S773""",,"""""""Tru_Israel, IL"""" - 1""","""Tru_Israel, IL 2025-07-10 16:38""",HARDWARE BY MFR CARD READER AS REQUIRED,checked,"""""""Hardware: Pemko, Smoke Seals, S773"""""""
70,2,1-1/2 PR HINGES,"""Hardware: Rockwood, Viewer, 627""",,"""""""Tru_Israel, IL"""" - 2""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, SILENCERS",checked,"""""""Hardware: Rockwood, Viewer, 627"""""""
71,2,PASSAGE LOCKSET,"""Hardware: Pemko, Threshold, EV2325""",,"""""""Tru_Israel, IL"""" - 2""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, SILENCERS",checked,"""""""Hardware: Pemko, Threshold, EV2325"""""""
72,2,SILENCERS,"""Hager, Closer, 5300 x MLT x 1-6 x 5303 x FC, ALM""",,"""""""Tru_Israel, IL"""" - 2""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, SILENCERS",,
73,2,STOP,,,"""""""Tru_Israel, IL"""" - 2""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, SILENCERS",,
74,3,1-1/2 PR HINGES,,,"""""""Tru_Israel, IL"""" - 3""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, PASSAGE LOCKSET, SILENCERS, STOP",,
75,3,PRIVACY LOCKSET,,,"""""""Tru_Israel, IL"""" - 3""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, PASSAGE LOCKSET, SILENCERS, STOP",,
76,3,SILENCERS,,,"""""""Tru_Israel, IL"""" - 3""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, PASSAGE LOCKSET, SILENCERS, STOP",,
77,3,STOP,,,"""""""Tru_Israel, IL"""" - 3""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, PASSAGE LOCKSET, SILENCERS, STOP",,
78,4,1-1/2 PR HINGES,,,"""""""Tru_Israel, IL"""" - 4""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, PRIVACY LOCKSET, SILENCERS, STOP",,
79,4,PRIVACY LOCKSET,,,"""""""Tru_Israel, IL"""" - 4""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, PRIVACY LOCKSET, SILENCERS, STOP",,
80,4,SILENCERS,,,"""""""Tru_Israel, IL"""" - 4""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, PRIVACY LOCKSET, SILENCERS, STOP",,
81,4,STOP,,,"""""""Tru_Israel, IL"""" - 4""","""Tru_Israel, IL 2025-07-10 16:38""","1-1/2 PR HINGES, PRIVACY LOCKSET, SILENCERS, STOP",,
82,5,HARDWARE BY MFR,,,"""""""Tru_Israel, IL"""" - 5""","""Tru_Israel, IL 2025-07-10 16:38""",HARDWARE BY MFR CARD READER AS REQUIRED,,
83,5,CARD READER AS REQUIRED,,,"""""""Tru_Israel, IL"""" - 5""","""Tru_Israel, IL 2025-07-10 16:38""",HARDWARE BY MFR CARD READER AS REQUIRED,,
