Line Item ID,Customers,Project,Opening ID,Component,Category,Hardware Sets,Quantity,Base Cost Reg,Base Cost (With OR),Total Cost,% Markup,Price Overrides (Table),HW - Price Override,Door- Price Override,Frame - Price Override ,Markup,% Markup Override,Unit Price,Final Price,C Composite Key,M Composite Key,P Composite Key,Openings,Price Override,Markup Override,Default Markup (from Project),Component Summary,P_Record_ID,C_Record_ID,Hardware Sets copy,Components copy,Components copy,Items (Nested),From field: Items (Nested)
74,Airtable,"""Aloft City Park Hotel_Montreal, QB""",,"""Door: Solid Core Wood, Plastic Laminate """,Door,,4,$0.00,$0.00,$0.00,35%,,,,,,,$0.00,$0.00,"""Aloft City Park Hotel_Montreal, QB""_Door",,"""Aloft City Park Hotel_Montreal, QB""_""Door: Solid Core Wood, Plastic Laminate """,ID_A_142A,,,35%,,recNPYIHZWW74uqpq,recgJV17nGr8Am78I,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,,
75,Airtable,"""Aloft City Park Hotel_Montreal, QB""",,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",Frame,,4,$0.00,$0.00,$0.00,35%,,,,,,,$0.00,$0.00,"""Aloft City Park Hotel_Montreal, QB""_Frame",,"""Aloft City Park Hotel_Montreal, QB""_""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",ID_A_142A,,,35%,,recNPYIHZWW74uqpq,rec7sZyUl8pzj171K,,,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",,
17,Herman,"""Extended Stay of America_Williamsburg, NJ""",,,,,2,$0.00,$0.00,$0.00,35%,,,,,,,$0.00,$0.00,"""Extended Stay of America_Williamsburg, NJ""_",,"""Extended Stay of America_Williamsburg, NJ""_",,,,35%,,rec0NDFYaqTduk7Li,,,,,,
18,Herman,"""Extended Stay of America_Williamsburg, NJ""",,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)"",""Door: Solid Core Wood, Plastic Laminate ""","Frame,Door",,2,$0.00,$0.00,$0.00,55%,,,,,__55%,55%,$0.00,$0.00,"""Extended Stay of America_Williamsburg, NJ""_Frame, Door",_,"""Extended Stay of America_Williamsburg, NJ""_""Frame: Hollow Metal, Cased Welded, (16 Gauge)"", ""Door: Solid Core Wood, Plastic Laminate """,,,,35%,,rec0NDFYaqTduk7Li,"rec7sZyUl8pzj171K, recgJV17nGr8Am78I",,,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)"",""Door: Solid Core Wood, Flush, Plastic Laminate """,,
19,Herman,"""Extended Stay of America_Williamsburg, NJ""",,"""Door: Solid Core Wood, Plastic Laminate """,Door,,3,$0.00,$0.00,$0.00,25%,,,,,Hyatt House_Brooklyn NY_Frame_25%,25%,$0.00,$0.00,"""Extended Stay of America_Williamsburg, NJ""_Door",Hyatt House_Brooklyn NY_Frame,"""Extended Stay of America_Williamsburg, NJ""_""Door: Solid Core Wood, Plastic Laminate """,,,,35%,,rec0NDFYaqTduk7Li,recgJV17nGr8Am78I,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,,
25,Herman,"""Extended Stay of America_Williamsburg, NJ""",,"""Door: Solid Core Wood, Plastic Laminate """,Door,,3,$0.00,$0.00,$0.00,25%,,,,,Hyatt House_Brooklyn NY_Frame_25%,25%,$0.00,$0.00,"""Extended Stay of America_Williamsburg, NJ""_Door",Hyatt House_Brooklyn NY_Frame,"""Extended Stay of America_Williamsburg, NJ""_""Door: Solid Core Wood, Plastic Laminate """,,,,35%,,rec0NDFYaqTduk7Li,recgJV17nGr8Am78I,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,,
27,Herman,"""Extended Stay of America_Williamsburg, NJ""",,"""Door: Solid Core Wood, Plastic Laminate """,Door,,3,$0.00,$0.00,$0.00,25%,,,,,Hyatt House_Brooklyn NY_Frame_25%,25%,$0.00,$0.00,"""Extended Stay of America_Williamsburg, NJ""_Door",Hyatt House_Brooklyn NY_Frame,"""Extended Stay of America_Williamsburg, NJ""_""Door: Solid Core Wood, Plastic Laminate """,,,,35%,,rec0NDFYaqTduk7Li,recgJV17nGr8Am78I,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,,
29,Herman,"""Extended Stay of America_Williamsburg, NJ""",,"""Door: Solid Core Wood, Plastic Laminate """,Door,,3,$0.00,$0.00,$0.00,25%,,,,,Hyatt House_Brooklyn NY_Frame_25%,25%,$0.00,$0.00,"""Extended Stay of America_Williamsburg, NJ""_Door",Hyatt House_Brooklyn NY_Frame,"""Extended Stay of America_Williamsburg, NJ""_""Door: Solid Core Wood, Plastic Laminate """,,,,35%,,rec0NDFYaqTduk7Li,recgJV17nGr8Am78I,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,,
31,Herman,"""Extended Stay of America_Williamsburg, NJ""",,"""Door: Solid Core Wood, Plastic Laminate """,Door,,3,$0.00,$0.00,$0.00,25%,,,,,Hyatt House_Brooklyn NY_Frame_25%,25%,$0.00,$0.00,"""Extended Stay of America_Williamsburg, NJ""_Door",Hyatt House_Brooklyn NY_Frame,"""Extended Stay of America_Williamsburg, NJ""_""Door: Solid Core Wood, Plastic Laminate """,,,,35%,,rec0NDFYaqTduk7Li,recgJV17nGr8Am78I,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,,
32,Herman,"""Extended Stay of America_Williamsburg, NJ""",,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",Frame,,3,$0.00,$0.00,$0.00,55%,,,,,__55%,55%,$0.00,$0.00,"""Extended Stay of America_Williamsburg, NJ""_Frame",_,"""Extended Stay of America_Williamsburg, NJ""_""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",,,,35%,,rec0NDFYaqTduk7Li,rec7sZyUl8pzj171K,,,"""Frame: Hollow Metal, Cased Welded, (16 Gauge)""",,
